nome,perfil_risco,Idade,Renda,TempoDeRelacao,TicketMedioInvestido,QtdProdutosNaCarteira,PerfilRisco,Pais,TaxaJuros,HistoricoInvestimentoESG,EngajamentoESG,ConhecimentoESG,PreocupacaoAmbiental,AcessouPagESG,LeuArtigoESG,ParticipouWebinarESG,AssessorESGAtivo,NPS_ESG,ValorAlocadoESG,propensao_esg,ESG_Label_Predito,faixa_propensao,categoria_produto,vence_em_dias,produtos_esg,valor_em_caixa,Renda Fixa,Multimercado,ETF,Renda Variável,Caixa,ValorEmCaixa
Eduardo 3613,Moderado,55,14578.073966581165,11,306704.8099940959,11,1,EUA,5.0,0,0,1,2,0,0,0,0,1,0.0,0.0,0,,Multimercado,685,0,117687.21425223036,0.33969675871521327,0.08396830989828882,0.0799806920303743,0.036655962776697894,0.45969827657942575,117687.21425223036
Juliana 3448,Agressivo,19,15712.982765377299,94,1963481.263813651,7,1,EUA,5.0,0,0,2,1,1,0,0,1,0,0.0,0.30000000000000004,0,Baixa,Renda Fixa,1165,0,116073.55888940748,0.3602338665248984,0.1504416690653605,0.18225559668446734,0.17135266646270256,0.13571620126257122,116073.55888940748
Amanda 4239,Moderado,38,10013.873058072124,37,1476433.7306216988,14,1,Alemanha,13.75,0,1,3,4,0,0,0,0,1,0.0,0.0,0,,ETF,1091,0,55601.560269878726,0.21932553356955142,0.2899539817037243,0.11689143757698157,0.09893891831986602,0.27489012882987673,55601.560269878726
Beatriz 7037,Moderado,50,7386.030296060864,19,949920.0843523346,4,0,Alemanha,13.75,0,2,2,2,0,0,0,0,1,0.0,0.0,0,,Caixa,26,0,51463.694495922595,0.13204399113881138,0.09723040455432379,0.12386914079614893,0.07133834936361146,0.5755181141471044,51463.694495922595
Camila 8334,Conservador,29,13071.374551465333,51,1226626.4125535507,8,1,Brasil,2.0,0,7,2,2,0,0,0,0,4,0.0,0.0,0,,ETF,1193,0,110810.10840886523,0.005148694924816156,0.14442921486239915,0.09340027134954221,0.1591892305989037,0.5978325882643388,110810.10840886523
Felipe 7249,Moderado,39,8705.860117496602,100,222405.99720904906,12,1,Brasil,2.0,0,6,3,3,1,0,0,0,3,0.0,0.1,0,Baixa,Caixa,442,0,119755.02562157903,0.03787369246507857,0.2544794819009649,0.03578873488461494,0.07452826610932231,0.5973298246400193,119755.02562157903
Bruno 6003,Conservador,61,9926.98944455519,34,1125218.9049310659,13,2,Brasil,13.75,0,1,3,4,1,0,1,0,0,0.0,0.30000000000000004,0,Baixa,Caixa,769,0,24632.580529266288,0.35455646171863386,0.1844185097931534,0.1947094788374363,0.17109569101804253,0.09521985863273386,24632.580529266288
Bianca 4395,Moderado,42,17301.10436174815,71,156585.53331394822,9,1,Alemanha,13.75,1,14,5,5,1,0,0,0,8,77890.69694207721,0.6499999999999999,1,Média,ETF,829,1,14463.501926966668,0.2894103343525775,0.027840982663099954,0.012161671450008084,0.16384591239399982,0.5067410991403146,14463.501926966668
Paula 6481,Agressivo,66,15308.461714263072,60,1094261.9616674108,9,0,Brasil,13.75,0,1,3,4,0,1,0,1,0,0.0,0.35,0,Baixa,Caixa,463,1,50454.298077100604,0.0764553050493953,0.2895443444882317,0.054931155998761264,0.22607673849755977,0.352992455966052,50454.298077100604
Henrique 8208,Conservador,44,12631.897249005808,109,1109864.4206379429,2,0,Brasil,5.0,1,9,5,5,1,1,1,1,6,69629.66624354309,1.0,1,Alta,Caixa,1109,1,18288.722900324352,0.01892619258983559,0.20387391717582906,0.014746886205321764,0.047017958313301876,0.7154350457157117,18288.722900324352
Camila 8070,Agressivo,59,6912.323995549109,84,1750133.1824698804,3,0,Brasil,13.75,0,1,2,2,0,0,0,0,1,0.0,0.0,0,,Caixa,512,0,141839.0545182643,0.31617143817364224,0.06325993460532069,0.08269538756877104,0.07148458642956845,0.4663886532226975,141839.0545182643
Letícia 2344,Agressivo,45,12845.586269882635,53,1452864.425541865,12,0,Brasil,2.0,0,5,3,3,1,0,0,1,4,0.0,0.30000000000000004,0,Baixa,Multimercado,1051,0,44654.23485450485,0.1794388855190685,0.07649289995894439,0.04989066205364872,0.1058958361827075,0.5882817162856309,44654.23485450485
Paula 5553,Agressivo,33,16250.629163150106,12,506609.26050808886,17,0,Brasil,13.75,1,12,4,3,0,1,1,0,9,65126.278602434104,0.8999999999999999,1,Alta,Caixa,742,1,71140.65487752079,0.2516005471108447,0.07282448594244754,0.00791547895152236,0.02290997650837966,0.6447495114868058,71140.65487752079
Sofia 1455,Agressivo,32,10497.465336937858,62,1777968.022953835,4,0,EUA,13.75,0,0,2,3,1,0,0,0,0,0.0,0.1,0,Baixa,Renda Variável,679,0,23522.87011464757,0.27187755708458516,0.14249577264908622,0.11220623933720153,0.04508198055935122,0.4283384503697759,23522.87011464757
Bruno 5882,Agressivo,64,17404.45635994686,96,1150752.9030475316,14,0,Brasil,5.0,1,13,3,4,0,0,0,1,9,71741.10046734186,0.6499999999999999,1,Média,ETF,248,0,34576.62619938416,0.11984316562297025,0.14211658116535184,0.18893919326489955,0.1347578417889144,0.414343218157864,34576.62619938416
Vinicius 8228,Agressivo,68,17170.981158072827,66,1216695.162362327,9,0,EUA,13.75,0,2,1,2,1,0,0,1,1,0.0,0.30000000000000004,0,Baixa,Caixa,800,0,97546.58758247891,0.29739656864560016,0.14639184980419145,0.179752875451781,0.16669669980499677,0.20976200629343056,97546.58758247891
Tiago 1661,Agressivo,61,18654.931328573894,86,346272.9247521349,8,1,Brasil,13.75,0,4,2,2,0,1,0,0,3,0.0,0.15,0,Baixa,Caixa,1148,0,145863.90929528038,0.32471025911549634,0.07576850959080389,0.119558545278845,0.28874781911990544,0.19121486689494938,145863.90929528038
Bruno 1116,Conservador,69,13220.972506125412,105,1716969.4559785367,1,0,Brasil,13.75,0,6,1,1,0,0,0,0,3,0.0,0.0,0,,ETF,66,0,31704.31132276425,0.1229023481148147,0.25010004413303777,0.016271137271221894,0.11785825869692944,0.4928682117839962,31704.31132276425
Fernanda 5197,Moderado,20,14349.566799224049,48,1862620.5788829227,13,0,Brasil,13.75,0,5,3,2,0,0,0,0,3,0.0,0.0,0,,Caixa,404,0,10104.214553278367,0.3308235826666444,0.16457249365329532,0.014307816427786802,0.2555129712792012,0.23478313597307232,10104.214553278367
Vinicius 2820,Moderado,54,17656.74915332436,40,1552231.3924948673,3,1,EUA,2.0,1,13,5,5,1,0,1,1,8,30033.107161017662,1.0,1,Alta,Multimercado,345,1,51828.77442005115,0.030901933678284844,0.2674845301653142,0.18832116076822059,0.23254252606269038,0.28074984932548996,51828.77442005115
Paula 1532,Conservador,68,13789.575748275902,24,1882097.3807635624,14,0,Brasil,13.75,0,4,3,3,1,0,1,0,1,0.0,0.30000000000000004,0,Baixa,Renda Variável,109,0,50769.501062551535,0.07630231070163435,0.29821017402036976,0.05316510184740018,0.2988557360733782,0.2734666773572175,50769.501062551535
Paula 9985,Conservador,24,9995.063568839149,50,611576.8092034683,19,0,Brasil,13.75,1,10,3,3,1,1,0,0,5,6608.289307685893,0.6,1,Média,Multimercado,196,0,111813.1989248699,0.2703723398739492,0.09973075455533599,0.08462018915794028,0.19711200440761276,0.34816471200516175,111813.1989248699
João 8202,Agressivo,38,10205.828653888555,95,1723627.1450419147,6,0,Brasil,13.75,1,12,4,5,1,0,1,1,8,93923.87266571644,1.0,1,Alta,Multimercado,144,1,130532.54765881937,0.275434023088686,0.14970549415594167,0.103015918945836,0.12440118889619944,0.3474433749133369,130532.54765881937
Carlos 6020,Moderado,26,12954.219815094957,68,982897.3542988476,4,1,Alemanha,13.75,1,11,4,4,0,1,0,1,6,22690.196360389007,0.8,1,Alta,Multimercado,660,0,64738.46292882524,0.13695595796758417,0.026677392149058732,0.01587845565875068,0.13591775904264486,0.6845704351819616,64738.46292882524
Felipe 5072,Agressivo,56,6837.7543122151255,88,336195.233857734,1,2,Brasil,13.75,0,2,3,3,1,0,0,0,1,0.0,0.1,0,Baixa,Multimercado,964,0,5134.121726459457,0.056516718258266346,0.10664521099373576,0.1849245044684209,0.004028894419401818,0.6478846718601752,5134.121726459457
Amanda 7123,Agressivo,35,11426.96433854323,43,1340913.1920764684,10,0,EUA,13.75,0,3,1,2,0,0,1,1,1,0.0,0.4,0,Baixa,Renda Fixa,933,0,4788.073285450259,0.010538979677143345,0.06645221312533091,0.07134027112956846,0.012812934384842533,0.8388556016831148,4788.073285450259
Sofia 8849,Conservador,21,16386.188472921014,17,1371399.338704699,13,1,Brasil,13.75,1,11,3,3,1,0,1,1,6,42006.268447266724,0.8500000000000001,1,Alta,Caixa,198,1,49916.307485262136,0.15283625148198232,0.18091497029151615,0.021512096673751136,0.04664203811523777,0.5980946434375126,49916.307485262136
Tiago 7561,Moderado,42,3234.984595338876,104,580979.7823758133,12,1,Brasil,13.75,0,6,3,3,0,0,0,1,4,0.0,0.2,0,Baixa,Caixa,793,0,1145.1573524237429,0.019730737074661553,0.03739786366293063,0.17681306797385135,0.04173619929268709,0.7243221319958694,1145.1573524237429
Juliana 4263,Moderado,31,18137.92840717806,83,64711.729938864424,11,1,Brasil,13.75,0,0,3,2,0,0,0,0,0,0.0,0.0,0,,Caixa,531,0,75146.43912927157,0.31888772982106706,0.07217852502961475,0.19859364621200504,0.05043240736598976,0.3599076915713234,75146.43912927157
Natália 3894,Moderado,67,16489.496874812638,104,407696.04558027105,4,2,Brasil,13.75,0,6,3,3,0,0,0,0,5,0.0,0.0,0,,Renda Fixa,533,0,118494.26485506505,0.35547547830582493,0.10291185989268516,0.12096039720583329,0.15722995914440954,0.2634223054512471,118494.26485506505
Letícia 2949,Agressivo,26,10160.941536678096,102,805557.3198710346,17,2,Brasil,13.75,0,3,2,3,0,0,1,0,2,0.0,0.2,0,Baixa,Renda Variável,1129,0,36757.785609838975,0.1975621042911591,0.0038978377101256843,0.1318214091860433,0.2401122858725019,0.42660636294016996,36757.785609838975
Juliana 4224,Agressivo,43,14173.563311487238,55,343450.1930091384,15,0,Brasil,5.0,0,1,1,1,0,1,0,1,0,0.0,0.35,0,Baixa,ETF,1094,0,92276.23824087957,0.2081224640923532,0.030492685148223207,0.17901014589198536,0.2644653849926291,0.3179093198748091,92276.23824087957
Rafael 6955,Moderado,19,12012.590907625306,34,396119.5969968123,3,1,Brasil,5.0,1,12,4,3,0,0,0,1,9,20638.331567911344,0.75,1,Média,Multimercado,593,1,7113.735145186941,0.10523744883236148,0.041650419342793565,0.1068279934576517,0.13967706538924846,0.6066070729779448,7113.735145186941
Letícia 6956,Moderado,37,16919.96147375473,111,788867.4221207164,10,1,EUA,5.0,0,5,1,1,0,0,1,0,3,0.0,0.2,0,Baixa,Renda Fixa,339,0,21401.16828767384,0.2809241565995556,0.08327522155079436,0.18249312781637897,0.07847791711030529,0.3748295769229658,21401.16828767384
Rodrigo 5103,Moderado,45,15930.732571079765,97,1923955.3624740352,14,2,Alemanha,13.75,1,9,5,5,0,1,1,1,6,84020.04490835247,0.8999999999999999,1,Alta,Renda Variável,682,1,13089.109555002315,0.022643555412260152,0.010115298467913302,0.10136311810596726,0.17465910945881485,0.6912189185550444,13089.109555002315
João 3292,Moderado,64,6399.717107267963,70,1530844.5956612201,19,2,Brasil,5.0,0,5,2,3,0,0,0,0,2,0.0,0.0,0,,Renda Fixa,731,0,47388.16641149657,0.16891041443664664,0.1311061938646286,0.01493940389955919,0.23031443608379287,0.45472955171537266,47388.16641149657
Natália 6810,Moderado,24,14349.049653856706,60,646299.3184408626,4,0,Brasil,13.75,0,6,2,2,0,0,0,0,4,0.0,0.0,0,,ETF,481,0,98770.30365762436,0.009164133456154478,0.0633212411817033,0.0042298725824919895,0.23266293098871807,0.6906218217909321,98770.30365762436
Carlos 9699,Moderado,61,11177.488585427009,51,1903692.0971479109,14,0,Brasil,13.75,1,8,3,4,1,0,1,0,6,65069.10368936569,0.55,1,Média,Multimercado,1003,0,1569.6363087739371,0.1765939703833007,0.1709802567939323,0.01946313175034451,0.21022557344103687,0.4227370676313855,1569.6363087739371
Natália 7489,Moderado,25,12331.3302820724,100,1294837.116594878,6,1,Brasil,13.75,1,8,3,4,1,0,1,1,4,60247.79963730969,0.75,1,Média,Renda Fixa,808,1,128353.53592873341,0.1752218772994871,0.14897120190153584,0.028477351873808333,0.0014392741615681492,0.6458902947636006,128353.53592873341
Mariana 3211,Agressivo,64,9087.312396120738,77,916344.7928338789,12,1,Brasil,13.75,0,4,1,1,0,0,0,0,2,0.0,0.0,0,,Multimercado,679,0,48379.677629863676,0.3953971302004373,0.20682201111409532,0.07995565303764807,0.18081258220300142,0.1370126234448179,48379.677629863676
Larissa 2104,Moderado,52,18992.548276483343,111,941917.3959207427,2,1,Brasil,13.75,0,2,2,2,0,0,1,0,2,0.0,0.2,0,Baixa,ETF,691,0,110985.81368903964,0.12215288046758938,0.12789792689199567,0.03586458684125687,0.22410922218414533,0.4899753836150127,110985.81368903964
Eduardo 7128,Conservador,31,16160.247279610303,73,827381.4909924298,17,1,Brasil,13.75,1,12,4,3,0,0,0,1,8,82746.8373078271,0.75,1,Média,Renda Variável,59,1,32678.002090655616,0.09315159513471297,0.07894942382117788,0.15009474104484824,0.0797136184288554,0.5980906215704055,32678.002090655616
Mariana 1615,Moderado,34,9040.91534410813,35,473654.18456642,1,0,Brasil,2.0,0,0,3,4,1,0,0,1,1,0.0,0.30000000000000004,0,Baixa,Caixa,25,0,75455.3443080239,0.34135542878774117,0.013973240344408888,0.1012111686875945,0.12287224751038472,0.4205879146698708,75455.3443080239
Amanda 5661,Moderado,53,6661.55757235907,34,779398.0625052743,17,2,Brasil,13.75,0,3,3,2,0,0,0,0,2,0.0,0.0,0,,Renda Fixa,25,0,57849.15570765086,0.23626329837874713,0.26451841242138746,0.0004918436048072961,0.29627049633212466,0.20245594926293353,57849.15570765086
Natália 1349,Agressivo,67,10457.309476088607,16,1060513.8042463511,5,2,EUA,13.75,0,1,1,2,0,0,0,0,0,0.0,0.0,0,,Caixa,551,0,42487.18315002487,0.23250848966709203,0.029374216879816027,0.08744536195671311,0.059105729818520164,0.5915662016778587,42487.18315002487
Bruno 4834,Moderado,57,13738.010584365224,82,1060774.4279531399,16,1,Alemanha,13.75,1,12,3,4,0,0,1,0,9,84649.95594676171,0.65,1,Média,ETF,787,1,47804.75402463255,0.28183495285325794,0.13481643462960652,0.026223002062825573,0.26856801724210533,0.28855759321220464,47804.75402463255
Bruno 3141,Moderado,21,12960.823375784892,18,1525856.435402911,14,1,EUA,13.75,0,0,1,1,1,1,0,0,0,0.0,0.25,0,Baixa,Renda Fixa,305,0,87947.6438016135,0.1117103977406475,0.13191157248889102,0.1486683964387308,0.18964075265253838,0.41806888067919235,87947.6438016135
Rodrigo 8367,Agressivo,19,17012.531299072973,38,724007.7357431316,10,1,Brasil,13.75,0,5,3,4,0,0,0,0,4,0.0,0.0,0,,Multimercado,1111,0,8263.86643239901,0.3121127322750871,0.2650630491062679,0.15916048988936135,0.23232972851303274,0.03133400021625099,8263.86643239901
Luca 5257,Agressivo,23,15159.678888723409,114,1436428.0783148652,3,0,EUA,13.75,0,2,2,2,0,0,0,0,2,0.0,0.0,0,,Multimercado,448,0,137871.0290291056,0.25907531689291063,0.13896809224679338,0.13754181330226514,0.15520861328243493,0.3092061642755959,137871.0290291056
Letícia 7240,Conservador,59,15878.276103011627,43,1160402.7591496825,3,0,Brasil,13.75,1,10,5,5,1,0,0,0,6,64939.64571793158,0.5499999999999999,1,Média,Renda Fixa,418,1,29834.836006686466,0.0146663061188959,0.088393478792655,0.15076327917837953,0.22338289249165436,0.5227940434184152,29834.836006686466
Bruno 4594,Moderado,21,13307.42160244175,32,1924072.3550084005,18,0,EUA,5.0,0,5,3,3,0,0,0,0,2,0.0,0.0,0,,Multimercado,162,0,127298.9767189223,0.2526832644696855,0.01129164292638013,0.08493604905999648,0.2820765655278705,0.3690124780160674,127298.9767189223
Juliana 3911,Conservador,46,6442.805079156039,7,776717.0028076256,18,2,EUA,13.75,0,6,1,2,0,0,0,0,5,0.0,0.0,0,,Renda Variável,1049,0,122307.71720710643,0.22464474744285343,0.10899980842718854,0.1514638641863019,0.19905411867233924,0.31583746127131695,122307.71720710643
Rodrigo 6501,Moderado,35,11217.205875412394,87,1803420.7638789727,4,1,Brasil,13.75,0,5,1,1,0,0,0,0,4,0.0,0.0,0,,ETF,5,0,149823.32994175085,0.11440866618904538,0.15176435175786873,0.15363091082306823,0.03622433410449081,0.5439717371255268,149823.32994175085
Mariana 4878,Moderado,43,16240.358959634661,87,1643078.669123596,7,0,Brasil,2.0,0,2,2,3,1,1,0,1,1,0.0,0.45,0,Média,Multimercado,339,1,68912.85810931181,0.07348542361014827,0.037937359466269645,0.13947961908363363,0.14070080899258097,0.6083967888473675,68912.85810931181
Henrique 5263,Conservador,61,11793.908285901416,46,1278951.9263330193,1,1,Brasil,13.75,0,7,3,2,0,0,0,0,4,0.0,0.0,0,,Renda Fixa,969,0,89973.31145822884,0.2504016033763699,0.16703262908462016,0.1788017590982061,0.14242769860285023,0.26133630983795364,89973.31145822884
Bianca 9049,Agressivo,51,14012.361474494986,61,1312483.7888168134,16,0,Brasil,13.75,1,12,3,2,1,0,1,0,9,75597.2669380652,0.75,1,Média,Renda Fixa,93,1,78132.82083524656,0.10835710165925644,0.026449882182421523,0.10992134085954564,0.19264722709444762,0.5626244482043288,78132.82083524656
Henrique 4728,Moderado,27,10725.006739015467,18,178453.36986675725,17,0,Brasil,13.75,1,13,4,4,1,1,0,0,7,6070.956795393961,0.7,1,Média,Renda Variável,49,1,5947.050681083943,0.23118091512580904,0.2240688384970361,0.05253991159863019,0.16421046694808666,0.3279998678304381,5947.050681083943
Letícia 5341,Moderado,53,7880.75260583262,71,1900946.9651309303,8,1,EUA,13.75,1,14,4,4,1,0,0,1,9,46134.702502129934,0.8499999999999999,1,Alta,Renda Variável,1043,1,36735.63099076796,0.35999810641317354,0.038954830684181575,0.15686994099738077,0.1557675761535141,0.28840954575175004,36735.63099076796
Mariana 2538,Moderado,31,11506.623743815559,106,222802.7663565304,6,1,Brasil,13.75,0,6,2,2,0,0,0,0,5,0.0,0.0,0,,Renda Fixa,550,0,54301.90540798838,0.2537815749158381,0.013715349619232686,0.1484257431827055,0.11723864482407137,0.46683868745815227,54301.90540798838
Carlos 7158,Conservador,48,13236.189772130616,40,1130834.284399579,2,1,Brasil,5.0,0,3,2,3,0,0,0,0,1,0.0,0.0,0,,Renda Fixa,246,0,37421.68235999244,0.1876910030020388,0.2843961787908427,0.19708181873723352,0.04286819779617803,0.2879628016737069,37421.68235999244
André 7876,Conservador,65,9377.249122154226,88,666840.8928938174,10,1,Brasil,13.75,0,7,1,2,0,0,0,0,5,0.0,0.0,0,,Multimercado,682,0,75700.12897609762,0.11063062534036226,0.20636629957665797,0.1325697380444361,0.10000876992116849,0.4504245671173752,75700.12897609762
Fernanda 7332,Moderado,32,11057.155020573326,78,865405.436796805,17,1,Brasil,13.75,1,13,5,4,1,1,0,1,9,33941.41195703595,1.0,1,Alta,Renda Fixa,931,1,44838.120793515845,0.2390200753580881,0.12677795004221443,0.17495276404182358,0.0198219741461505,0.4394272364117233,44838.120793515845
João 5725,Conservador,25,8242.14703205607,50,1224264.1915652659,19,1,EUA,2.0,1,8,5,5,0,1,0,1,6,67717.11734335659,0.7,1,Média,Renda Fixa,1081,1,13929.882050991439,0.10070535814654807,0.007009928830024181,0.06470911680789833,0.2823696408749401,0.5452059553405892,13929.882050991439
Letícia 9789,Conservador,31,16476.979670256384,5,1818614.24198582,4,1,Brasil,5.0,1,10,4,5,0,1,1,0,7,91702.41977595138,0.7999999999999999,1,Alta,Renda Variável,728,1,149161.4344168721,0.051552358928467795,0.21771331981151307,0.05413316146327199,0.29483271308296594,0.3817684467137812,149161.4344168721
Sofia 1263,Conservador,40,10822.176969647864,110,920558.5759088799,13,1,Brasil,13.75,0,7,1,2,0,1,0,0,4,0.0,0.15,0,Baixa,ETF,953,0,20933.895435698785,0.35786995933398025,0.04052501234090813,0.13476049108267035,0.09422066959625895,0.37262386764618227,20933.895435698785
Amanda 9844,Conservador,57,17811.022180504733,54,1975581.8150598179,19,1,EUA,13.75,0,2,2,1,0,1,0,1,1,0.0,0.35,0,Baixa,Renda Variável,1022,0,76132.53573181269,0.35831298347366014,0.12050309773775258,0.1419825281931323,0.23344484490598522,0.14575654568946983,76132.53573181269
Juliana 2031,Conservador,38,18114.991402163636,86,1189696.0100494844,16,1,Brasil,5.0,1,9,5,5,0,0,1,0,5,69741.35280396149,0.55,1,Média,Renda Variável,487,1,25555.348511511183,0.22983079647069973,0.2944797219255995,0.10112715970960645,0.009941307967193624,0.3646210139269007,25555.348511511183
